Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",1993
Frederick,"Frederick, MD",Other arguments,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2001
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,72,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,46,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,62,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,Knife or cutting instrument,1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,Knife or cutting instrument,1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,38,Black,Male,Knife or cutting instrument,1997
Annapolis,"Anne Arundel, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,Knife or cutting instrument,1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,73,Black,Male,Knife or cutting instrument,2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,Knife or cutting instrument,2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,52,Black,Male,Knife or cutting instrument,2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,Knife or cutting instrument,2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,17,Black,Male,Knife or cutting instrument,2011
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,Knife or cutting instrument,2012
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,Knife or cutting instrument,2003
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,39,Black,Male,Knife or cutting instrument,2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,81,Black,Male,Other or type unknown,1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,88,Black,Male,Other or type unknown,2005
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,Other or type unknown,1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,47,Black,Male,"Personal weapons, includes beating",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,Shotgun,1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,Shotgun,1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,Shotgun,2006
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,Strangulation - hanging,1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Blunt object - hammer, club, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,47,Black,Male,"Blunt object - hammer, club, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Blunt object - hammer, club, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Blunt object - hammer, club, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,52,Black,Male,"Blunt object - hammer, club, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Blunt object - hammer, club, etc",2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,64,Black,Male,"Blunt object - hammer, club, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,"Blunt object - hammer, club, etc",2010
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Firearm, type not stated",1996
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,66,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,62,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1991
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,46,Black,Male,"Handgun - pistol, revolver, etc",1992
Mount Rainier,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,41,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,31,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2003
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,Knife or cutting instrument,1987
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,43,Black,Male,Knife or cutting instrument,1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,47,Black,Male,Knife or cutting instrument,2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,Knife or cutting instrument,2005
Laurel,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,Knife or cutting instrument,2005
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,Knife or cutting instrument,2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,78,Black,Male,Knife or cutting instrument,2010
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,Knife or cutting instrument,2001
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Black,Male,Knife or cutting instrument,2002
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,54,Black,Male,Knife or cutting instrument,1990
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,999,Black,Male,Knife or cutting instrument,1995
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,Knife or cutting instrument,2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,Other or type unknown,2001
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,39,Black,Male,Other or type unknown,2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,56,Black,Male,"Personal weapons, includes beating",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,34,Black,Male,"Personal weapons, includes beating",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,Shotgun,2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,Shotgun,2007
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,Strangulation - hanging,1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,44,Black,Male,"Blunt object - hammer, club, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,61,Black,Male,"Blunt object - hammer, club, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,74,Black,Male,"Blunt object - hammer, club, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,38,Black,Male,"Blunt object - hammer, club, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,40,Black,Male,"Blunt object - hammer, club, etc",2007
Baltimore,"Baltimore city, MD",Other,"Baltimore-Towson, MD",1,No,FBI,Maryland,1,Black,Male,"Blunt object - hammer, club, etc",1999
Baltimore,"Baltimore city, MD",Robbery,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Blunt object - hammer, club, etc",1989
Capitol Heights,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Firearm, type not stated",1999
Frederick,"Frederick, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Firearm, type not stated",2006
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",1987
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Other arguments,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,41,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,35,Black,Male,"Handgun - pistol, revolver, etc",2012
Salisbury,"Wicomico, MD",Argument over money or property,"Salisbury, MD",1,No,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",2010
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1989
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,39,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1990
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,40,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,51,Black,Male,"Handgun - pistol, revolver, etc",1992
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,15,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,47,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,41,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1994
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,49,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,37,Black,Male,"Handgun - pistol, revolver, etc",1995
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",1996
Takoma Park Prince Geo,"Montgomery, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1996
Capitol Heights,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,33,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,36,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,999,Black,Male,"Handgun - pistol, revolver, etc",1997
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,15,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,14,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,999,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1998
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,52,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,23,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,43,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",1999
