Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,Other or type unknown,1996
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,33,Black,Male,Other or type unknown,1996
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,27,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Other,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1999
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,41,Black,Male,"Firearm, type not stated",1997
Prince George's County Police Department,"Prince George's, MD",Brawl due to influence of narcotics,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2011
Prince George's County Police Department,"Prince George's, MD",Brawl due to influence of narcotics,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",2011
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1998
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1998
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1998
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,38,Black,Male,"Handgun - pistol, revolver, etc",1998
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",1999
